Gemstone,Image,Alternate Name,Chakra,Physical Attributes,Emotional Attributes,Metaphysical Attributes,Origin,Physical Description,Birth Month,Zodiac Sign,Mohs Hardness
Alexandrite,alexandrite_aaron.jpeg,-,"Crown, Heart","Blood circulation, Emotional balance, Nervous system, glands","Promotes joy and positivity, balances emotions","Enhances spiritual evolution, facilitates change","Brazil, Sri Lanka, Tanzania, Zimbabwe",Color-changing variety of chrysoberyl,June,"Gemini, Cancer",8.5
Allura,,-,"Heart, Third Eye","Immune system, eyes","Encourages self-expression, fosters intuition","Aids in accessing inner wisdom, stimulates creativity",Brazil,"Silicate mineral, often pink to red in color",August,Leo,6.5-7
Almadine,almadine_aaron.jpeg,-,Root,"Blood, metabolism","Provides courage and strength, wards off negativity","Enhances vitality, promotes stability","Brazil, India, USA",Red variety of garnet,January,Capricorn,7-7.5
Amazonite,amazonite.png,"Amazon stone, Amazon jade","Heart, Throat","Nervous system, heart","Soothes emotions, fosters communication","Enhances intuition, balances masculine and feminine energies","Australia, China, Libya, Mongolia, South Africa, Sweden, Brazil, Russia, USA","Green tectosilicate mineral, a variety of potassium feldspar called microline",December,Sagittarius,6-6.5
Amber,amber.png,-,"Solar Plexus, Sacral","Immune system, glands","Brings warmth and positivity, relieves stress","Purifies energy, offers protection","Baltic region, Dominican Republic, Myanmar",Fossilized tree resin,November,Scorpio,2-2.5
Amber Calcite,,-,"Solar Plexus, Crown","Digestion, energy absorption","Aids in emotional healing, reduces stress","Enhances spiritual growth, fosters positive energy",Worldwide,"Calcite mineral, yellow-orange hues",-,-,2.5-3
Amblygonite,amblygonite_aaron.jpeg,-,"Solar Plexus, Heart","Digestive system, brain","Calms emotions, encourages emotional healing","Enhances mental clarity, aids in decision-making","Brazil, USA, France",Lithium aluminum phosphate mineral,October,Libra,5.5-6
Amegreen,amegreen_aaron.jpeg,-,"Heart, Third Eye","Immune system, skin","Balances energies, brings harmony",Integrates spiritual wisdom with heart-centeredness,South Africa,"Combination of amethyst, prasiolite, and quartz",February,"Aquarius, Pisces",7
Amesite,amesite_aaron.jpeg,-,"Heart, Throat","Lungs, heart","Offers emotional stability, aids in healing","Enhances intuition, promotes spiritual growth","USA, Canada",Green to gray magnesium silicate mineral,June,"Gemini, Cancer",2.5-3
Amethyst,amethyst.png,-,"Crown, Third Eye","Nervous system, immune system","Calms the mind, aids in stress relief and meditation","Enhances spiritual awareness, promotes intuition","Brazil, Uruguay, Zambia, South Korea, United States","Purple variety of quartz, often with crystalline structure, varying shades of violet",February,"Aquarius, Pisces",7
Amethyst Sage Agate,amethyst_sage_agate.png,-,"Third Eye, Crown","Brain, immune system","Enhances mental clarity, fosters inner peace","Facilitates spiritual growth, aids in accessing higher realms",USA,Purple to lavender banded variety of chalcedony,February,"Aquarius, Pisces",7
Ametrine,ametrine.png,-,"crown, Solar Plexus, Third Eye","Digestive system, metabolism","Balances energies, aids in decision-making","Combines amethyst and citrine properties, harmonizes","Bolivia, Brazil","Bicolor quartz featuring purple amethyst and yellow citrine, used in jewelry and for its balancing and energizing properties",February,"Aquarius, Pisces",7
Ammonite,ammonite.png,-,"Root, Sacral","Bones, lungs","Offers stability and grounding, aids in transformation","Enhances structure and organization, facilitates rebirth","Madagascar, Canada, USA",Fossilized cephalopod shell,Aquarius,Aquarius,3.5-4
Amphibole Angel Quartz,amphibole_angel_quartz_aaron.png,-,"Crown, Heart","Immune system, heart","Facilitates communication with angels, brings emotional healing","Enhances spiritual connection, promotes compassion",Brazil,Clear quartz with embedded amphibole minerals,February,"Aquarius, Pisces",7
Anatase,anatase.jpeg,-,"Throat, Third Eye","Skin, eyes","Enhances communication, aids in mental clarity","Facilitates manifestation, promotes insight","Brazil, Switzerland, Pakistan","Blue, brown, or black titanium dioxide mineral",April,Taurus,5.5-6
Andalusite,andalusite.jpeg,Chiastolite,"Root, Sacral","Muscles, reproductive system","Provides grounding and protection, fosters balance","Aids in self-realization, brings spiritual strength","Spain, Brazil, Sri Lanka","Aluminum silicate mineral, often brown or green",November,Scorpio,7-7.5
Andean,andean_aaron.png,-,Heart,"Heart, lungs","Promotes emotional healing, aids in forgiveness","Enhances connection to nature, brings calmness","Peru, Bolivia",Greenish-blue variety of opal,May,"Taurus, Gemini",5.5-6
Andradite,andradite_aaron.jpeg,-,Root,"Bones, joints","Stimulates creativity, aids in manifestation","Enhances vitality, supports grounding","Italy, Russia, Namibia","Garnet subgroup, typically green to black",November,Scorpio,6.5-7
Angel Aura Quartz,angel_aura_quartz.png,"Opal Aura Quartz, Pearl Aura Quartz","Crown, Third Eye","Brain, nervous system","Uplifts mood, offers protection and purification","Facilitates communication with angels, enhances spirituality",USA,Clear quartz coated with platinum and silver,April,"Aries, Taurus",7
Angelite,angelite.png,-,"Throat, Third Eye, Crown","Blood, heart, Throat, Joints, Inflammation","Brings peace and tranquility, aids in communication","Enhances spiritual awareness, facilitates angelic connection","Peru, Mexico, USA",Blue variety of anhydrite,Aquarius,Aquarius,3-3.5
Anglesite,angelsite_aaron.jpeg,-,"Throat, Third Eye","Muscles, bones","Encourages self-expression, fosters introspection","Aids in psychic communication, enhances spiritual growth","Morocco, Mexico, USA","Lead sulfate mineral, often colorless or white",November,Scorpio,2.5-3
Anhydrite,anhydrite_aaron.jpeg,-,"Crown, Third Eye","Bones, muscles","Enhances self-expression, aids in relaxation","Facilitates spiritual growth, balances energies","Poland, Germany, Peru","Calcium sulfate mineral, colorless to white",November,Scorpio,3-3.5
Anthracite,anthracite_aaron.png,-,Root,"Respiratory system, bones","Promotes stability, aids in releasing old habits","Provides grounding, enhances willpower",Worldwide,"Hard, black coal with a high carbon content",January,Capricorn,2-2.5
Apache Gold,apache_gold_aaron.jpeg,Chalcopyrte,Solar Plexus,"Muscles, digestive system","Stimulates vitality, enhances confidence","Aids in manifestation, promotes abundance",United States,Combination of pyrite and black shale,February,"Aquarius, Pisces",-
Apache Tear,apache_tear_aaron.jpeg,-,Root,"Muscles, digestion, Absorption of vitamins","Provides comfort in grief, aids in emotional healing","Offers protection, absorbs negative energy",United States,"Black obsidian nodules with smooth, glassy surfaces, often used in jewelry and as a talisman for protection",November,Scorpio,5-5.5
Apatite,apatite.png,Asparagus Stone,"Throat, Third Eye","Bones, metabolism, Calcium absorption","Stimulates intellect, aids in motivation","Enhances communication, supports spiritual attunement","Brazil, Mexico, Russia","Phosphate mineral, various colors",September,Virgo,5
Apophylite,apophyllite_aaron.jpeg,-,"Crown, Third Eye","Lungs, eyes","Facilitates spiritual awakening, brings clarity","Enhances intuition, connects to higher realms","India, Brazil, Iceland","Transparent to white mineral, often in pyramidal crystals",Pisces,Gemini,4.5-5
Aqua Aura,aqua_aura_aaron.png,-,"Throat, Third Eye","Immune system, throat","Uplifts mood, aids in emotional healing","Enhances communication, amplifies energy",United States,Clear quartz bonded with gold vapor,March,Pisces,7
Aquamarine,aquamarine.png,-,"Throat, Heart","Respiratory system, skin","Calms emotions, aids in stress relief","Enhances courage, brings clarity","Brazil, Madagascar, USA",Blue to green-blue variety of beryl,March,Pisces,7.5-8
Aragonite,aragonite.png,-,"Root, Sacral","Bones, calcium absorbtion, Nervous system, muscle spasms, Stress","Grounds energy, promotes stability, peace  and patience","Enhances patience, aids in emotional healing","Spain, Mexico, Morocco","Carbonate mineral, often in columnar formations",June,Gemini,3.5-4
Arfvedsonite,arfvedsonite_aaron.jpeg,-,"Third Eye, Crown","Nervous system, Brain health, Psychic abilities","Assists in psychic visions, protects against negative energies","Facilitates spiritual growth, clears energy blockages","Russia, Norway, Canada, United States","Dark blue to black mineral often with a shimmering blue sheen, used for meditation and for its metaphysical properties",September,Libra,5.5-6
Arizona Lizard,arizona_lizard_aaron.png,-,Heart,"Skin, immune system","Promotes adaptability, aids in transformation","Enhances connection to nature, fosters courage",USA,Sedimentary rock with lizard-like patterns,March,Pisces,-
Arsenopyrite,arsenopyrite.jpeg,Mispickel,"Third Eye, Crown","Nervous system, blood","Aids in problem-solving, promotes confidence","Enhances psychic protection, clears negativity",Worldwide,"Iron arsenic sulfide mineral, silvery-white to gray",-,-,5.5-6
Artemis Quartz,artemis_quartz_aaron.jpg,-,"Heart, Third Eye","Nervous system, immune system","Enhances emotional balance, fosters intuition",Aids in connection to divine feminine energy,Worldwide,Quartz with visible silver inclusions,-,-,7
Ascension Stone,,-,"Third Eye, Crown","Energy body, spiritual alignment","Facilitates ascension process, aids in enlightenment","Connects to higher realms, accelerates personal growth",Worldwide,"High vibrational crystals, often quartz or other stones",-,-,-
Astrophyllite,astrophyllite_aaron.jpeg,-,"Root, Crown","Reproductive system, brain","Helps release old patterns, aids in transformation","Enhances spiritual growth, connects to higher dimensions","Russia, Greenland, Norway",Brown to bronze mineral with radiating patterns,-,-,3.5-4
Atlantisite,atlantisite_aaron.png,-,"Heart, Crown","Muscles, blood","Calms emotions, fosters inner peace","Enhances connection to ancient wisdom, aids in past-life recall","Australia, Tasmania",Combination of serpentine and stichtite,-,-,2.5-3
Augelite,augelite_aaron.jpeg,-,Solar Plexus,"Digestive system, liver","Encourages courage, aids in decision-making","Enhances personal power, fosters self-expression","France, Chile, USA","Aluminum phosphate mineral, often colorless to white",-,-,4.5-5
Aura Cobalt,aura_cobalt_aaron.png,-,"Throat, Third Eye","Immune system, throat","Stimulates creativity, aids in communication","Enhances spiritual insight, offers protection",Worldwide,"Cobalt-treated crystal, often quartz",-,-,-
Aura Quartz,aura_quartz.png,-,Various,Various,"Enhances spiritual connection, amplifies energy","Aids in meditation, balances chakras",Worldwide,Quartz bonded with various metals,-,-,-
Auralite-23,auralite-23_aaron.jpeg,,"Crown, Third Eye","Immune system, Cellular regeneration","Enhances meditation, connects to higher realms and consciousness","Facilitates spiritual growth, purifies the aura",Canada,"Multicolored variety of amethyst often with 23 minerals, used for meditation and healing purposes",,,Varies
Aventurine,aventurine_aaron.png,-,Heart,"Heart, circulatory system","Encourages prosperity, soothes emotions","Enhances luck, aids in decision-making","India, Brazil, Russia","Quartz with mica or hematite inclusions, green to reddish-brown",March,Aries,6.5-7
Axinite,axinite_aaron.jpeg,-,"Root, Third Eye","Muscles, brain","Enhances intuition, aids in transformation","Promotes understanding, helps in releasing negativity","France, Italy, Switzerland","Aluminum borate mineral, typically brown to violet",-,-,6.5-7
Azezulite,azezulite_aaron.png,-,"Crown, Third Eye","Nervous system, brain","Enhances psychic abilities, aids in meditation","Connects to higher dimensions, brings mental clarity","North Carolina, USA",Blue quartz with high vibrational energies,-,-,7
Azulicite,azulicite_aaron.jpeg,-,"Third Eye, Crown","Brain, nervous system","Facilitates spiritual attunement, aids in focus","Enhances psychic abilities, promotes clarity",Mexico,"Blue-green mineral, combination of azurite and malachite",-,-,-
Azurite,azurite.png,Chessylite,"Third Eye, Throat","Brain, throat","Enhances intuition, aids in communication","Facilitates spiritual awakening, clears blockages","USA, Mexico, Australia",Blue copper carbonate mineral,December,Sagittarius,3.5-4
Banded Agate,banded_agate_aaron.png,-,"Root, Sacral","Digestive system, skin","Encourages stability, aids in protection","Enhances grounding, balances energies","Brazil, India, Morocco","Banded form of chalcedony, various colors",May,Gemini,6.5-7
Banded Onyx,banded_onyx.png,-,Root,"Bones, teeth","Provides strength and support, aids in decision-making","Enhances self-control, promotes discipline","Brazil, Mexico, Pakistan","Banded variety of chalcedony, black and white",July,Leo,6.5-7
Barite,barite_aaron.png,Baryte,"Crown, Third Eye","Muscles, nervous system","Brings inner peace, aids in dream recall","Enhances spiritual growth, clears energy blockages","USA, UK, Morocco","Barium sulfate mineral, often colorless or white",-,-,2.5-3.5
Barnacle Quartz,,-,All,Overall well-being,"Facilitates group harmony, encourages inclusivity","Aids in accessing ancient wisdom, supports growth",Worldwide,Quartz crystals with smaller crystals attached,-,-,7
Basanite,banasite_aaron.jpeg,-,Root,"Circulatory system, muscles","Encourages stability, aids in grounding",Enhances connection to Earth energies,Worldwide,"Fine-grained volcanic rock, black in color",-,-,5-6
Benitoite,benitoite_aaron.png,-,"Throat, Third Eye","Eyes, throat","Stimulates intellect, aids in clear communication","Enhances psychic abilities, fosters intuition","California, USA",Rare blue barium titanium silicate mineral,July,Leo,6-6.5
Beryl,beryl_aaron.png,-,"Throat, Heart","Eyes, immune system","Promotes courage, soothes emotions","Enhances mental clarity, aids in spiritual growth","Brazil, Colombia, Russia","Silicate mineral family, various colors",March,Pisces,7.5-8
Biotite,biotite_aaron.jpeg,Iron Mica,"Third Eye, Crown","Brain, eyes","Aids in self-discovery, enhances perspective","Facilitates psychic awareness, aids in grounding",Worldwide,Dark iron-rich mica mineral,-,-,2.5-3
Bismuth,bismuth_aaron.jpeg,-,Crown,"Immune system, digestive system","Aids in transformation, fosters vitality","Enhances focus, connects to higher realms",Worldwide,Crystalline metal with colorful oxide tarnish,-,-,2-2.5
Black Agate,black_agate_aaron.png,-,Root,"Bones, joints","Provides protection, aids in grounding","Enhances courage, fosters emotional stability","Brazil, India, Morocco",Black variety of chalcedony,May,Gemini,6.5-7
Black Diamond,,Carbonado,Root,"Bones, teeth","Encourages creativity, aids in strength","Enhances spiritual evolution, provides protection","Brazil, Central African Republic","Natural polycrystalline diamond, black in color",April,"Aries, Taurus",10
Black Jade,black_jade_aaron.png,-,"Root, Heart","Bones, kidneys","Brings luck and prosperity, soothes emotions","Enhances grounding, fosters inner peace","Australia, USA, Mexico",Dark green to black variety of jade,March,Pisces,6-7
Black Kyanite,black_kyanite_aaron.png,-,Root,"Muscles, brain","Aids in clearing energy blockages, fosters grounding","Enhances spiritual alignment, aids in meditation","Brazil, USA, Zimbabwe","Black blade-like mineral, part of the kyanite family",April,"Aries, Taurus",4-7
Black Obsidian,black_obsidian_aaron.png,-,Root,"Digestive system, skin","Provides protection, aids in releasing negativity","Enhances clarity, fosters self-awareness",Worldwide,"Volcanic glass, black in color",November,Scorpio,5-5.5
Black Onyx,black_onyx_aaron.png,-,Root,"Bones, teeth","Provides strength, aids in protection","Enhances willpower, fosters self-discipline","Brazil, India, Uruguay",Black variety of chalcedony,July,Leo,6.5-7
Black Phantom Quartz,,-,All,Overall well-being,"Facilitates spiritual growth, aids in transformation","Enhances consciousness, clears blockages",Worldwide,Quartz with phantom-like inclusions,-,-,7
Black Tourmaline,,Schorl,Root,"Muscles, immune system","Provides protection, aids in grounding","Absorbs negative energies, enhances purification","Brazil, USA, Africa",Black variety of tourmaline,October,Libra,7-7.5
Blizzard Stone,,-,"Root, Third Eye","Muscles, brain","Encourages adaptability, aids in decision-making","Enhances focus, promotes mental clarity",Mexico,"White and black speckled stone, often snowflake obsidian",-,-,-
Blood Agate,,-,"Root, Sacral","Blood, circulatory system","Enhances vitality, aids in grounding","Promotes courage, fosters emotional stability","India, Brazil, USA",Red and white banded variety of agate,May,Gemini,6.5-7
Bloodstone,,Heliotrope,"Root, Sacral","Blood, immune system","Stimulates healing, aids in purification","Enhances courage, promotes self-esteem","India, Brazil, Australia",Green jasper with red spots,March,"Pisces, Aries",6.5-7
Blue Apatite,,Asparagus Stone,"Throat, Third Eye","Bones, metabolism","Aids in communication, enhances intellect","Facilitates spiritual attunement, aids in intuition","Brazil, Madagascar, Russia",Blue phosphate mineral,September,Virgo,5
Blue Aventurine,,-,"Throat, Third Eye","Skin, eyes","Promotes calmness, aids in communication","Enhances spiritual growth, fosters inner peace","Brazil, India, Russia",Blue variety of quartz with shimmering inclusions,December,Sagittarius,7
Blue Calcite,,-,"Throat, Third Eye","Joints, bones","Calms emotions, aids in relaxation","Enhances intuition, facilitates communication","Mexico, USA",Blue variety of calcium carbonate,September,Virgo,2.5-3
Blue Chalcedony,,-,"Throat, Third Eye","Immune system, throat","Calms emotions, aids in communication","Enhances harmony, fosters inner peace","Brazil, Namibia, USA",Blue variety of chalcedony,September,Virgo,6.5-7
Blue Coral,,-,Throat,"Bones, digestive system","Enhances intuition, aids in protection","Promotes diplomacy, aids in transformation","Mediterranean, Japan, Australia",Hardened calcium carbonate from marine polyps,November,Scorpio,3-4
Blue Fluorite,,-,"Throat, Third Eye","Respiratory system, brain","Aids in organization, enhances focus","Enhances intuitive abilities, fosters spiritual awakening","China, Mexico, USA","Calcium fluoride mineral, blue to purple in color",March,Pisces,4
Blue Goldstone,,-,Throat,"Circulatory system, joints","Encourages confidence, aids in ambition","Enhances creativity, fosters self-expression",Italy,Man-made glass with copper flecks,-,-,5-5.5
Blue Halite,,-,Throat,"Respiratory system, muscles","Enhances emotional balance, aids in purification","Facilitates spiritual communication, amplifies energy","Poland, Germany, USA","Rock salt mineral, blue in color",-,-,2-2.5
Blue Holley Agate,,-,"Throat, Third Eye","Muscles, brain","Aids in self-expression, enhances creativity","Encourages introspection, fosters inner strength",USA,Blue and brown banded variety of agate,-,-,6.5-7
Blue John,,-,"Throat, Third Eye","Immune system, lungs","Aids in healing, enhances clarity","Facilitates spiritual growth, amplifies intuition",England,"Fluorite mineral, banded with blue and yellow",-,-,2.5-4
Blue Kyanite,,-,"Throat, Third Eye","Muscles, brain","Encourages self-expression, aids in meditation","Facilitates communication, enhances psychic abilities","Brazil, USA, Zimbabwe","Blue blade-like mineral, part of the kyanite family",April,"Aries, Taurus",4-7
Blue Lace Agate,,-,Throat,"Throat, neck, Neck, Thyroid, Arthritis, Immune Sytem, Vocal Cords","Soothes emotions, aids in communication","Enhances calming energy, fosters tranquility","Namibia, South Africa, USA",Light blue banded variety of chalcedony,December,Sagittarius,6.5-7
Blue Moonstone,,-,"Throat, Third Eye","Digestive system, skin","Enhances intuition, fosters creativity","Balances emotions, aids in spiritual growth","India, Sri Lanka, Madagascar",Feldspar mineral with blue sheen,June,Cancer,6-6.5
Blue Onyx,,-,Throat,"Bones, teeth","Provides strength, aids in protection","Enhances willpower, fosters self-discipline","Brazil, India, Uruguay","Banded variety of chalcedony, blue in color",July,Leo,6.5-7
Blue Quartz,,-,Throat,"Immune system, throat","Encourages calmness, aids in communication","Enhances harmony, fosters clarity",Worldwide,Quartz mineral with blue coloration,-,-,7
Blue Sapphire,,-,"Throat, Third Eye","Eyes, brain","Enhances intuition, aids in focus","Promotes wisdom, aids in spiritual growth","Sri Lanka, Madagascar, Myanmar","Precious gemstone, blue variety of corundum",September,Virgo,9
Blue Scapolite,,-,Throat,"Muscles, metabolism","Encourages self-expression, aids in transformation","Enhances problem-solving, fosters growth","Brazil, Canada, Tanzania",Aluminum sodium silicate mineral,-,-,5.5-6
Blue Tiger's Eye,,Hawk's Eye,Throat,"Throat, eyes","Aids in communication, enhances perception","Enhances intuition, fosters insight","South Africa, Australia, USA","Fibrous form of quartz, blue in color",November,Scorpio,7
Blue Topaz,,,"Throat, Third Eye","Throat, Eyes, Throat infections","Enhances communication, stimulates mental clarity","Encourages truth, aids in expressing thoughts clearly","Brazil, Sri Lanka, United States",Blue to sky-blue gemstone often used in jewelry and known for its association with mental and communication abilities,December,Sagittarius,8
Blue Turquoise,,-,Throat,"Muscles, immune system","Encourages self-expression, aids in protection","Enhances spiritual attunement, fosters positivity","USA, Iran, Egypt","Hydrated phosphate mineral, blue in color",December,Sagittarius,5-6
Boji Stone,,Kansas Pop Rocks,Root,Overall well-being,"Enhances energy flow, aids in grounding","Balances energies, fosters stability",USA,"Concretion stones, brown and silver-grey",-,-,-
Bornite,,Peacock Ore,Root,"Circulatory system, joints","Stimulates enthusiasm, fosters self-esteem","Enhances perception, promotes positivity",Worldwide,"Copper iron sulfide mineral, iridescent with blue hues",-,-,3
Botswana Agate,,-,"Root, Sacral","Nervous system, bones","Encourages stability, aids in emotional healing","Enhances inner strength, fosters courage",Botswana,"Banded variety of chalcedony, pink to gray hues",November,Scorpio,6.5-7
Bowenite,,-,Heart,"Heart, lungs","Enhances emotional balance, aids in healing","Encourages forgiveness, fosters compassion","New Zealand, USA, China","Serpentine mineral, translucent green in color",-,-,6-6.5
Braunite,,-,All,Overall well-being,"Encourages vitality, aids in grounding","Enhances spiritual connection, fosters transformation","South Africa, Russia, United States","Oxide mineral, often black to brown in color",-,-,6-6.5
Brazilianite,,-,Solar Plexus,"Liver, spleen","Stimulates creativity, aids in manifestation","Enhances willpower, fosters optimism","Brazil, Russia, USA","Phosphate mineral, yellow to greenish-yellow",July,Leo,5.5-6
Brecciated Jasper,brecciated_jasper1.png,-,"Root, Sacral","Circulatory system, skin","Provides strength, aids in grounding","Enhances vitality, fosters mental clarity",Worldwide,"Jasper with fragmented appearance, red to brown",October,Libra,6.5-7
Bridge Quartz,,-,All,Overall well-being,"Enhances connectivity, aids in balance","Facilitates transitions, fosters clarity",Worldwide,Quartz crystals with a smaller crystal bridging gap,-,-,7
Brochantite,,-,"Heart, Throat","Liver, immune system","Aids in detoxification, enhances vitality","Promotes emotional balance, fosters healing","Chile, USA, Australia","Copper sulfate mineral, green to blue-green",-,-,3.5-4
Bronzite,,-,"Root, Sacral, Solar Plexus","Muscles, digestion","Provides grounding, aids in decision-making","Enhances confidence, fosters harmony","Austria, South Africa, USA","Iron-bearing variety of enstatite, bronze in color",August,Leo,5.5-6
Brown Tiger Eye,,-,"Root, Sacral, Solar Plexus","Digestive system, metabolism","Encourages motivation, aids in protection","Enhances confidence, fosters willpower","Australia, South Africa, USA","Fibrous form of quartz, brown and gold",November,Scorpio,7
Brown Topaz,,-,"Sacral, Solar Plexus","Metabolism, digestion","Stimulates creativity, aids in manifestation","Enhances self-confidence, fosters joy","Brazil, Sri Lanka, Nigeria","Precious gemstone, brown variety of topaz",November,Scorpio,8
Brown Tourmaline,,Dravite,"Root, Sacral","Digestive system, metabolism","Provides protection, aids in grounding","Enhances self-confidence, fosters stability","Brazil, Australia, USA",Brown variety of tourmaline,October,Libra,7-7.5
Brucite,,-,Solar Plexus,"Muscles, digestion","Encourages relaxation, aids in self-esteem","Enhances clarity, fosters emotional balance","USA, Italy, Russia","Magnesium hydroxide mineral, white to yellow",-,-,2.5-3.5
Bryozoan,,-,"Heart, Throat","Muscles, circulation","Encourages adaptability, aids in communication","Enhances connection to nature, fosters inner peace",Worldwide,Fossilized aquatic invertebrate colonies,-,-,-
Budd Stone,,"Buddstone, African Jade",Heart,"Heart, immune system","Stimulates vitality, aids in healing","Enhances compassion, fosters emotional balance",South Africa,"Green mineral, a mixture of different minerals",-,-,-
Buddha Stone,,-,All,Overall well-being,"Encourages serenity, aids in meditation","Enhances spiritual growth, fosters tranquility",Worldwide,"Natural river stone, often with Buddha-like image",-,-,-
Bumblebee Jasper,,-,"Solar Plexus, Sacral","Digestive system, skin","Enhances creativity, aids in manifestation","Encourages joy, fosters personal power",Indonesia,"Brightly colored, yellow and black jasper",-,-,6-7
Bustamite,,-,"Heart, Crown","Heart, brain","Encourages love, aids in relaxation","Enhances intuition, fosters spiritual growth","South Africa, USA, Japan","Calcium manganese silicate mineral, pink to brown",-,-,5.5-6
Cacoxenite,,-,"Third Eye, Crown","Brain, immune system","Enhances spiritual awareness, aids in transformation",Facilitates alignment with higher consciousness,"Brazil, USA, Madagascar",Hydrated iron aluminum phosphate mineral,-,-,3.5-4
Cancrinite,,-,"Throat, Third Eye","Immune system, eyes","Aids in self-expression, enhances insight","Facilitates communication, fosters intuition","Russia, Canada, Italy",Calcium sodium aluminum silicate mineral,-,-,5-6
Carborundum,,Silicon Carbide,All,Overall well-being,"Enhances creativity, aids in transformation","Facilitates spiritual growth, amplifies energy",Worldwide,Man-made crystalline compound,-,-,9.5-9.9
Caribbean Blue Calcite,,-,Throat,"Throat, lungs","Aids in communication, enhances relaxation","Encourages emotional healing, fosters clarity",Pakistan,Blue variety of calcite,-,-,3
Carnelian,carnelian.png,-,"Sacral, Root","Reproductive system, blood, Lower back","Stimulates creativity, aids in motivation","Enhances vitality, fosters confidence","Brazil, India, Madagascar, USA",Orange to red variety of chalcedony,July,Leo,6-7
Cassiterite,,Tin Stone,"Root, Sacral","Muscles, circulation","Enhances manifestation, aids in grounding","Promotes balance, fosters endurance",Worldwide,"Tin dioxide mineral, brown to black",-,-,6-7
Cat's Eye,,Cymophane,Solar Plexus,"Digestive system, eyes","Aids in protection, enhances luck","Promotes clarity, fosters insight","Sri Lanka, India, Brazil","Chrysoberyl mineral, exhibiting chatoyancy",-,-,8.5
Cavansite,,-,"Throat, Third Eye","Throat, eyes","Encourages communication, aids in intuition","Enhances spiritual insight, fosters transformation",India,"Blue mineral, hydrous calcium vanadium phosphate",-,-,3.5-4
Celestite,,,"Third Eye, Crown","Thyroid, Vocal cords, hearing, mental clarity","Enhances spiritual communication, calms the mind, Promotes inner peace, facilitates communication with the divine","Aids in angelic communication, promotes divine wisdom, Enhances spiritual development, brings harmony","Madagascar, United States, Poland","Blue crystal clusters with a celestial appearance, often transparent or translucent, used for meditation and spiritual growth",Gemini,Aquarius,3-3.5
Cerussite,,-,"Root, Third Eye","Bones, eyes","Aids in transformation, enhances intuition","Promotes clarity, fosters spiritual growth","Morocco, Australia, USA","Lead carbonate mineral, colorless to white",-,-,3-3.5
Chalcopyrite,,Peacock Ore,"Crown, Solar Plexus","Hair, Brain, Inflammation","Enhances perception, attracts abundance and prosperity","Facilitates self-discovery, promotes inner knowing","Mexico, Peru, United States","Brass-yellow mineral often with iridescent colors, used for meditation and for its energies that align with higher guidance",,,3.5-4
